id,exam,year,subject,topic,difficulty,question,recency,difficulty_score
1371,SSC CGL,2021,Quantitative Aptitude,Percentage,Easy,A student scored 30% marks in an exam. Find the marks obtained out of 100.,5,1
1372,SSC CHSL,2022,Quantitative Aptitude,Simple Interest,Medium,Find the principal amount given simple interest of 600 at 12% rate.,4,2
1373,SSC CHSL,2025,Quantitative Aptitude,Profit and Loss,Medium,A trader allows a discount of 15%. Find the new selling price.,1,2
1374,RRB NTPC,2024,General Awareness,Geography,Easy,Which river is the longest in India?,2,1
1375,IBPS PO,2024,Reasoning,Direction Sense,Hard,A person walks 250 km north and then 18 km east. Find the shortest distance to start.,2,3
1376,RRB NTPC,2024,Reasoning,Analogy,Easy,Book is related to Reading. Pen is related to?,2,1
1377,RRB NTPC,2021,General Awareness,Indian Polity,Medium,Who is known as the chief architect of the Indian Constitution?,5,2
1378,SSC CHSL,2022,English,Grammar,Easy,Fill in the blank with the correct form of the verb.,4,1
1379,IBPS PO,2025,General Awareness,Static GK,Easy,Identify the national symbol described in the question.,1,1
1380,SSC CGL,2023,English,Cloze Test,Medium,Fill in the blanks to complete the passage meaningfully.,3,2
1381,IBPS PO,2021,Quantitative Aptitude,Profit and Loss,Easy,A shopkeeper marks an item 15% above cost price. Find the marked price.,5,1
1382,SSC CGL,2024,General Awareness,History,Easy,Who founded the Maurya Empire?,2,1
1383,RRB NTPC,2022,English,Grammar,Easy,Fill in the blank with the correct form of the verb.,4,1
1384,IBPS PO,2025,General Awareness,History,Easy,Who founded the Maurya Empire?,1,1
1385,SSC CHSL,2021,General Awareness,Current Affairs,Hard,Who was recently appointed to the given post?,5,3
1386,SSC CHSL,2025,Reasoning,Puzzle,Hard,Solve the seating arrangement puzzle based on given conditions.,1,3
1387,RRB NTPC,2025,General Awareness,Geography,Easy,Which state has the highest geographical area?,1,1
1388,SSC CGL,2021,Reasoning,Syllogism,Easy,Determine whether the given statements follow logically.,5,1
1389,IBPS PO,2021,English,Vocabulary,Medium,Choose the antonym of the given word.,5,2
1390,SSC CGL,2025,English,Cloze Test,Easy,Fill in the blanks to complete the passage meaningfully.,1,1
1391,IBPS PO,2023,English,Reading Comprehension,Easy,Read the passage and answer the question.,3,1
1392,SSC CGL,2022,General Awareness,Indian Polity,Medium,Who is known as the chief architect of the Indian Constitution?,4,2
1393,SSC CGL,2024,Quantitative Aptitude,Data Interpretation,Medium,Find the ratio of values shown in the given pie chart.,2,2
1394,SSC CHSL,2024,English,Reading Comprehension,Medium,Read the passage and answer the question.,2,2
1395,SSC CGL,2025,Quantitative Aptitude,Time and Work,Medium,A pipe fills a tank in 400 hours. Find the time to fill 15% of the tank.,1,2
1396,RRB NTPC,2022,Reasoning,Blood Relation,Hard,Find the relationship between two persons based on the given statements.,4,3
1397,IBPS PO,2023,Reasoning,Analogy,Medium,Choose the word that best completes the analogy.,3,2
1398,RRB NTPC,2022,General Awareness,Indian Polity,Hard,Who is known as the chief architect of the Indian Constitution?,4,3
1399,RRB NTPC,2023,English,Grammar,Hard,Identify the error in the sentence.,3,3
1400,RRB NTPC,2023,Reasoning,Analogy,Hard,Choose the word that best completes the analogy.,3,3
1401,IBPS PO,2025,Reasoning,Analogy,Medium,Choose the word that best completes the analogy.,1,2
1402,SSC CHSL,2022,English,Vocabulary,Easy,Choose the synonym of the given word.,4,1
1403,SSC CHSL,2021,Quantitative Aptitude,Time and Work,Medium,A can complete a work in 750 days and B in 20 days. Find the time taken together.,5,2
1404,SSC CGL,2021,Reasoning,Blood Relation,Hard,A is the son of B. B is the daughter of C. How is A related to C?,5,3
1405,SSC CHSL,2025,General Awareness,Geography,Hard,Which state has the highest geographical area?,1,3
1406,SSC CGL,2022,English,Cloze Test,Medium,Fill in the blanks to complete the passage meaningfully.,4,2
1407,IBPS PO,2024,Quantitative Aptitude,Algebra,Hard,Simplify the given quadratic expression.,2,3
1408,IBPS PO,2021,Quantitative Aptitude,Time and Work,Hard,Find the efficiency ratio of two workers given their individual work rates.,5,3
1409,SSC CHSL,2022,English,Sentence Improvement,Easy,Improve the underlined part of the given sentence.,4,1
1410,IBPS PO,2022,English,Cloze Test,Easy,Fill in the blanks to complete the passage meaningfully.,4,1
1411,RRB NTPC,2025,Quantitative Aptitude,Percentage,Medium,The population of a town grew by 10% in a year. Find the increase.,1,2
1412,RRB NTPC,2021,Quantitative Aptitude,Data Interpretation,Medium,Analyse the bar graph and find the percentage change.,5,2
1413,IBPS PO,2021,English,Sentence Improvement,Hard,Improve the underlined part of the given sentence.,5,3
1414,SSC CHSL,2025,Reasoning,Coding Decoding,Hard,Find the next term using a coding pattern.,1,3
1415,IBPS PO,2023,General Awareness,Indian Polity,Easy,Who is known as the chief architect of the Indian Constitution?,3,1
1416,IBPS PO,2022,General Awareness,Indian Polity,Easy,Which article of the Constitution deals with the given provision?,4,1
1417,SSC CGL,2024,English,Reading Comprehension,Easy,Identify the main idea of the given passage.,2,1
1418,IBPS PO,2024,Reasoning,Syllogism,Medium,Determine whether the given statements follow logically.,2,2
1419,RRB NTPC,2021,English,Cloze Test,Easy,Fill in the blanks to complete the passage meaningfully.,5,1
1420,IBPS PO,2024,English,Sentence Improvement,Medium,Improve the underlined part of the given sentence.,2,2
1421,SSC CGL,2024,General Awareness,Geography,Easy,Which state has the highest geographical area?,2,1
1422,RRB NTPC,2025,Reasoning,Analogy,Easy,Choose the word that best completes the analogy.,1,1
1423,SSC CHSL,2022,Quantitative Aptitude,Simple Interest,Medium,Find the principal amount given simple interest of 150 at 15% rate.,4,2
1424,RRB NTPC,2024,Reasoning,Puzzle,Hard,Arrange the given items based on the clues provided.,2,3
1425,SSC CHSL,2021,English,Cloze Test,Medium,Fill in the blanks to complete the passage meaningfully.,5,2
1426,RRB NTPC,2021,Reasoning,Puzzle,Medium,Arrange the given items based on the clues provided.,5,2
1427,IBPS PO,2021,Reasoning,Coding Decoding,Medium,"If CAT is coded as DBU, how is DOG coded?",5,2
1428,SSC CHSL,2023,Quantitative Aptitude,Geometry,Hard,Find the circumference of a circle with radius 100 cm.,3,3
1429,SSC CHSL,2025,Reasoning,Coding Decoding,Medium,Decode the given word using the same logic as the example.,1,2
1430,SSC CHSL,2025,Reasoning,Blood Relation,Easy,A is the son of B. B is the daughter of C. How is A related to C?,1,1
1431,SSC CHSL,2023,Quantitative Aptitude,Data Interpretation,Easy,Find the average from the given data table.,3,1
1432,RRB NTPC,2022,Quantitative Aptitude,Geometry,Easy,Find the type of triangle having all angles equal.,4,1
1433,SSC CGL,2024,General Awareness,Current Affairs,Easy,Which event is currently in the news?,2,1
1434,IBPS PO,2021,General Awareness,Current Affairs,Hard,Which event is currently in the news?,5,3
1435,SSC CGL,2022,English,Vocabulary,Hard,Choose the correct meaning of the word.,4,3
1436,RRB NTPC,2021,General Awareness,Geography,Hard,Which state has the highest geographical area?,5,3
1437,SSC CGL,2021,General Awareness,Geography,Easy,Which state has the highest geographical area?,5,1
1438,SSC CGL,2024,Reasoning,Series,Medium,Find the next term in the given number series.,2,2
1439,SSC CHSL,2023,English,Grammar,Hard,Fill in the blank with the correct form of the verb.,3,3
1440,IBPS PO,2023,Reasoning,Puzzle,Hard,Solve the seating arrangement puzzle based on given conditions.,3,3
1441,RRB NTPC,2025,English,Grammar,Easy,Fill in the blank with the correct form of the verb.,1,1
1442,IBPS PO,2021,Reasoning,Coding Decoding,Easy,Find the next term using a coding pattern.,5,1
1443,IBPS PO,2023,Reasoning,Puzzle,Hard,Arrange the given items based on the clues provided.,3,3
1444,SSC CGL,2022,English,Sentence Improvement,Easy,Improve the underlined part of the given sentence.,4,1
1445,RRB NTPC,2025,General Awareness,History,Medium,Who founded the Maurya Empire?,1,2
1446,RRB NTPC,2023,Reasoning,Direction Sense,Easy,A person walks 600 km north and then 8 km east. Find the shortest distance to start.,3,1
1447,SSC CHSL,2022,Reasoning,Puzzle,Medium,Solve the seating arrangement puzzle based on given conditions.,4,2
1448,SSC CGL,2022,General Awareness,Indian Polity,Medium,Which article of the Constitution deals with the given provision?,4,2
1449,IBPS PO,2023,English,Cloze Test,Easy,Fill in the blanks to complete the passage meaningfully.,3,1
1450,IBPS PO,2025,English,Cloze Test,Hard,Fill in the blanks to complete the passage meaningfully.,1,3
1451,RRB NTPC,2025,Reasoning,Blood Relation,Medium,Find the relationship between two persons based on the given statements.,1,2
1452,RRB NTPC,2024,Quantitative Aptitude,Time and Work,Easy,A pipe fills a tank in 600 hours. Find the time to fill 25% of the tank.,2,1
1453,IBPS PO,2021,General Awareness,History,Easy,Who founded the Maurya Empire?,5,1
1454,SSC CGL,2025,Quantitative Aptitude,Percentage,Hard,The population of a town grew by 25% in a year. Find the increase.,1,3
1455,RRB NTPC,2022,Reasoning,Analogy,Easy,Choose the word that best completes the analogy.,4,1
1456,SSC CGL,2023,Reasoning,Coding Decoding,Medium,"If CAT is coded as DBU, how is DOG coded?",3,2
1457,IBPS PO,2023,General Awareness,Indian Polity,Easy,Who is known as the chief architect of the Indian Constitution?,3,1
1458,IBPS PO,2021,Reasoning,Puzzle,Easy,Arrange the given items based on the clues provided.,5,1
1459,SSC CHSL,2024,General Awareness,History,Easy,Identify the event associated with the given year.,2,1
1460,SSC CHSL,2021,English,Cloze Test,Easy,Fill in the blanks to complete the passage meaningfully.,5,1
1461,SSC CGL,2021,Quantitative Aptitude,Percentage,Hard,A student scored 50% marks in an exam. Find the marks obtained out of 100.,5,3
1462,SSC CHSL,2025,General Awareness,Science,Easy,Identify the SI unit of the given physical quantity.,1,1
1463,RRB NTPC,2023,General Awareness,Science,Hard,Which gas is essential for respiration?,3,3
1464,SSC CHSL,2021,English,Cloze Test,Medium,Fill in the blanks to complete the passage meaningfully.,5,2
1465,RRB NTPC,2021,General Awareness,Current Affairs,Hard,Who was recently appointed to the given post?,5,3
1466,SSC CHSL,2022,English,Vocabulary,Medium,Choose the correct meaning of the word.,4,2
1467,SSC CGL,2025,General Awareness,Indian Polity,Medium,Who is known as the chief architect of the Indian Constitution?,1,2
1468,SSC CHSL,2021,Reasoning,Coding Decoding,Easy,Find the next term using a coding pattern.,5,1
1469,SSC CGL,2022,Reasoning,Syllogism,Medium,"Based on the two statements, find the valid conclusion.",4,2
1470,SSC CHSL,2025,English,Cloze Test,Hard,Fill in the blanks to complete the passage meaningfully.,1,3
1471,IBPS PO,2021,General Awareness,Indian Polity,Easy,Which article of the Constitution deals with the given provision?,5,1
1472,RRB NTPC,2024,English,Sentence Improvement,Easy,Improve the underlined part of the given sentence.,2,1
1473,SSC CGL,2025,General Awareness,History,Medium,Who founded the Maurya Empire?,1,2
1474,IBPS PO,2025,Reasoning,Puzzle,Medium,Arrange the given items based on the clues provided.,1,2
1475,RRB NTPC,2021,English,Reading Comprehension,Medium,Identify the main idea of the given passage.,5,2
1476,SSC CGL,2021,Quantitative Aptitude,Algebra,Easy,"If x + y = 600 and x - y = 18, find the value of x.",5,1
1477,IBPS PO,2022,Quantitative Aptitude,Algebra,Easy,Solve the given algebraic equation for x.,4,1
1478,IBPS PO,2023,English,Sentence Improvement,Easy,Improve the underlined part of the given sentence.,3,1
1479,IBPS PO,2024,Reasoning,Puzzle,Easy,Solve the seating arrangement puzzle based on given conditions.,2,1
1480,SSC CHSL,2023,General Awareness,Science,Medium,Identify the SI unit of the given physical quantity.,3,2
1481,IBPS PO,2025,Quantitative Aptitude,Profit and Loss,Easy,A trader allows a discount of 25%. Find the new selling price.,1,1
1482,SSC CGL,2022,English,Reading Comprehension,Medium,Identify the main idea of the given passage.,4,2
1483,RRB NTPC,2024,English,Vocabulary,Hard,Choose the correct meaning of the word.,2,3
1484,SSC CGL,2023,Quantitative Aptitude,Algebra,Easy,Solve the given algebraic equation for x.,3,1
1485,SSC CHSL,2021,Reasoning,Analogy,Hard,Book is related to Reading. Pen is related to?,5,3
1486,RRB NTPC,2021,Reasoning,Direction Sense,Easy,A person walks 200 km north and then 24 km east. Find the shortest distance to start.,5,1
1487,SSC CGL,2025,Reasoning,Analogy,Medium,Choose the word that best completes the analogy.,1,2
1488,SSC CHSL,2023,English,Vocabulary,Easy,Choose the antonym of the given word.,3,1
1489,SSC CGL,2024,English,Cloze Test,Easy,Fill in the blanks to complete the passage meaningfully.,2,1
1490,RRB NTPC,2025,Quantitative Aptitude,Profit and Loss,Medium,An article bought for 250 is sold for 8. Find the profit or loss percentage.,1,2
1491,SSC CHSL,2023,Reasoning,Syllogism,Easy,"Based on the two statements, find the valid conclusion.",3,1
1492,SSC CGL,2025,General Awareness,Static GK,Hard,Identify the national symbol described in the question.,1,3
1493,SSC CGL,2023,Quantitative Aptitude,Algebra,Easy,Find the roots of the equation x^2 - 300x + 8 = 0.,3,1
1494,IBPS PO,2024,General Awareness,Indian Polity,Medium,Which article of the Constitution deals with the given provision?,2,2
1495,SSC CHSL,2024,English,Cloze Test,Easy,Fill in the blanks to complete the passage meaningfully.,2,1
1496,RRB NTPC,2021,Reasoning,Coding Decoding,Easy,Find the next term using a coding pattern.,5,1
1497,IBPS PO,2025,English,Reading Comprehension,Medium,Identify the main idea of the given passage.,1,2
1498,SSC CHSL,2021,Reasoning,Blood Relation,Easy,Find the relationship between two persons based on the given statements.,5,1
1499,SSC CHSL,2024,General Awareness,Science,Medium,Which gas is essential for respiration?,2,2
1500,RRB NTPC,2021,Reasoning,Puzzle,Easy,Arrange the given items based on the clues provided.,5,1
